#bp.overlap	chr	cpgnum	entrez	gcnum	genesym	name	obsexp	refgene	start	stop	pval	qval	Class	nonzero_frac	avgGrpA	avgGrpB	150410_MCS0001_V1D_CACGAT_L002_R1	150410_MCS0002_V1D_ATACGG_L008_R1	150410_MCS0004_V1D_GATGCT_L008_R1	150410_MCSLNP4014_V1D_GGCCTG_L008_R1	150410_MCSLNP4015_V1D_TGAATG_L002_R1	MCSLNP4021_V1D
630	chr8	51	79943	445	ZNF696	CpG:51	0.69	NM_030895	144371446	144372076	0.002757397	0.093719813	0	1	0.164109562	0.08075967	0.165262659	0.131916351	0.195149677	0.07597849	0.08716711	0.079133411
547	chr13	53	29079	363	MED4	CpG:53	0.9	NM_014166	48668845	48669392	0.00278357	0.094392395	0	0.619496855	0.000295261	0.002292258	7.40891E-05	0.000782886	2.88073E-05	0.000842108	0.000999679	0.005034988
631;631;631	chr1	72	1465;1465;1465	454	CSRP1;CSRP1;CSRP1	CpG:72	0.88	NM_001193571;NM_001193570;NM_004078	201475885	201476516	0.002843097	0.096169245	0	0.49537037	4.40043E-05	0.000953036	1.13869E-05	0.000120626	0	0.000456693	0.001205931	0.001196484
1970	chr5	206	6531	1347	SLC6A3	CpG:206	0.9	NM_001044	1444678	1446648	0.002848977	0.096169245	0	0.824961948	0.002111216	0.006176262	0.000676654	0.002942726	0.002714269	0.006493361	0.004864727	0.007170699
1550;1693;1625	chr19	168	100506033;100616313;53635	1084	PTOV1-AS1;MIR4749;PTOV1	CpG:168	0.98	NR_040037;NR_039904;NM_017432	50353790	50355483	0.0028897	0.097241518	0	0.379487179	0.000417434	0.002270529	0.000199769	0.000766809	0.000285723	0.000737251	0.000993653	0.005080682
2585;2585	chr5	224	11044;11044	1303	PAPD7;PAPD7	CpG:224	1.37	NM_001171805;NM_006999	6712315	6714900	0.002893897	0.097241518	0	0.230835487	1.64099E-06	0.00023744	0	0	4.92298E-06	0.000117014	0.000120912	0.000474393
1812;1406;1406	chr4	180	285484;152789;152789	1268	LOC285484;JAKMIP1;JAKMIP1	CpG:180	0.82	NR_037863;NM_001099433;NM_144720	6200912	6202724	0.002902625	0.097297013	0	0.672743056	0.000389266	0.001021756	0.000285433	0.000882364	0	0.000799461	0.000921766	0.001344042
454;454	chr11	40	26229;256364	289	B3GAT3;EML3	CpG:40	0.88	NM_012200;NM_153265	62389337	62389791	0.00290871	0.097297013	0	0.368794326	0	0.001491685	0	0	0	0.000314214	0.00054238	0.00361846
638;968;968;968;968;968;968;968;968	chr10	96	84445;84545;84545;84545;84545;56652;56652;56652;56652	636	LZTS2;MRPL43;MRPL43;MRPL43;MRPL43;C10orf2;C10orf2;C10orf2;C10orf2	CpG:96	0.93	NM_032429;NM_176794;NM_032112;NM_176793;NM_176792;NM_001163812;NM_001163813;NM_001163814;NM_021830	102746533	102747501	0.002939079	0.098090933	0	0.734375	0.001341832	0.006126384	0.002156143	0.000859614	0.001009739	0.002142932	0.004944655	0.011291564
845	chr1	90	388630	642	TRABD2B	CpG:90	0.77	NM_001194986	48462131	48462976	0.0029868	0.09911903	0	0.664814815	0.000414998	0.002082171	0	0.000435262	0.000809732	0.001513723	0.00146864	0.003264151
571;571;571	chr3	78	114112;114112;255330	420	TXNRD3;TXNRD3;NUP210P1	CpG:78	1.01	NM_001173513;NM_052883;NR_034158	126373571	126374142	0.002999514	0.09911903	0	0.587606838	0.000183724	0.001774375	0.000318356	0.000149175	8.36401E-05	0.000713974	0.000497806	0.004111345
561;561;561;561	chr17	46	4830;4830;654364;654364	334	NME1;NME1;NME1-NME2;NME1-NME2	CpG:46	0.98	NM_000269;NM_198175;NM_001018136;NR_037149	49230686	49231247	0.003002084	0.09911903	0	0.434782609	0	0.003095049	0	0	0	0.000924838	0.000973189	0.00738712
1210	chr14	122	5587	725	PRKD1	CpG:122	1.13	NM_002742	30396210	30397420	0.003002292	0.09911903	0	0.572562358	9.58276E-05	0.002745798	0	0.000287483	0	0.005382149	0.001329096	0.00152615
1291;1291	chr5	108	5562;5562	797	PRKAA1;PRKAA1	CpG:108	0.89	NM_206907;NM_006251	40797651	40798942	0.003003404	0.09911903	0	0.327731092	0	0.000589096	0	0	0	0.000364379	0.000375494	0.001027416
747;747;747	chr5	79	153222;153222;153222	532	CREBRF;CREBRF;CREBRF	CpG:79	0.83	NM_153607;NM_001168394;NM_001168393	172483115	172483862	0.003097144	0.101985025	0	0.415686275	0	0.000464044	0	0	0	0.000463948	0.000525692	0.000402491
411	chr3	49	22871	286	NLGN1	CpG:49	0.99	NM_014932	173113270	173113681	0.00310877	0.102140363	0	0.489795918	0.000131989	0.001253578	0	0	0.000395967	0.000678261	0.001791672	0.0012908
736	chr1	84	2517	521	FUCA1	CpG:84	0.91	NM_000147	24194254	24194990	0.003128807	0.102570763	0	0.579365079	6.05254E-05	0.001372573	2.80959E-05	4.98437E-05	0.000103637	0.000709316	0.000716949	0.002691453
699	chr3	67	9515	433	STXBP5L	CpG:67	1	NM_014980	120626880	120627579	0.003247347	0.10622131	0	0.570422535	0.000140013	0.001157341	0	0.000420039	0	0.001441103	0.001237112	0.00079381
1348;1348;1348	chr21	150	1292;1292;1292	967	COL6A2;COL6A2;COL6A2	CpG:150	0.87	NM_001849;NM_058174;NM_058175	47517651	47518999	0.003286369	0.107260421	0	0.711180124	0.00041183	0.003088528	0.000315245	0.000525264	0.000394979	0.001937836	0.001481147	0.0058466
1041	chr4	67	4887	657	NPY2R	CpG:67	0.65	NM_000910	156129168	156130209	0.003308111	0.107517928	0	0.595890411	0.000704265	0.003004519	0.000376085	0.001736711	0	0.005163549	0.002240649	0.001609359
641;641;641	chr9	51	5646;5646;5646	422	PRSS3;PRSS3;PRSS3	CpG:51	0.76	NM_001197098;NM_001197097;NM_007343	33750519	33751160	0.003308803	0.107517928	0	0.956140351	0.002065735	0.007791474	0.001421135	0.002511075	0.002264994	0.011464045	0.004837634	0.007072742
1166	chr3	131	51193	816	ZNF639	CpG:131	0.92	NM_016331	179040466	179041632	0.003341045	0.108327536	0	0.363746959	8.46178E-07	0.000942038	0	0	2.53853E-06	0.000316505	0.00029759	0.00221202
1214	chr15	101	6095	738	RORA	CpG:101	0.96	NM_134261	61520423	61521716	0.003351884	0.108441163	0	0.560483871	0.000656751	0.000562377	0.000813008	0.000340807	0.000816438	0.001336424	4.39544E-06	0.000346312
280	chr12	34	9169	194	SCAF11	CpG:34	1.1	NM_004719	46385607	46385887	0.003359307	0.108444003	0	0.598039216	1.43657E-05	0.000549402	4.3097E-05	0	0	0.000305365	0.000869106	0.000473734
1065	chr20	105	3911	639	LAMA5	CpG:105	1.1	NM_005560	60941619	60942684	0.003367853	0.108483033	0	0.396135266	9.1374E-05	0.000687197	0.000274122	0	0	0.000313895	0.00072929	0.001018406
719	chr1	60	113451	489	ADC	CpG:60	0.73	NM_052998	33546524	33547243	0.003376709	0.108531819	0	0.477777778	9.23247E-06	0.00206592	1.4279E-08	2.76831E-05	0	0.001714035	0.000722897	0.003760829
553	chr19	69	126402	395	CCDC105	CpG:69	0.98	NM_173482	15121590	15122143	0.003398809	0.109005193	0	0.72705314	0.001225281	0.004646358	0	0.000732206	0.002943637	0.007080708	0.003505284	0.003353083
269	chr10	27	728118	185	FAM22A	CpG:27	0.85	NM_001099338	88982693	88982962	0.003431305	0.109809177	0	1	0.071680084	0.033152767	0.081407053	0.062521892	0.071111307	0.029903205	0.02130103	0.048254065
3640;1906;3762;1364;1891	chr13	328	3621;3621;79587;3621;3621	2344	ING1;ING1;CARS2;ING1;ING1	CpG:328	0.92	NM_005537;NM_198219;NM_024537;NM_198217;NM_198218	111364718	111368530	0.003452972	0.110263927	0	0.349056604	0.000228826	0.000599648	0.00057257	0.000113908	0	0.000222201	0.000333356	0.001243389
253	chr15	21	89839	180	ARHGAP11B	CpG:21	0.72	NM_001039841	30918312	30918565	0.003491228	0.111245277	0	0.341269841	0	0.000927294	0	0	0	0.000553076	0.00189143	0.000337378
714	chr11	61	1351	455	COX8A	CpG:61	0.84	NM_004074	63741900	63742614	0.003505543	0.111461203	0	0.628415301	4.20152E-05	0.001976902	5.56405E-05	5.60421E-05	1.43629E-05	0.000749733	0.000715433	0.004465541
1033;1033	chr19	84	55851;55957	677	PSENEN;LIN37	CpG:84	0.78	NM_172341;NM_019104	36231186	36232219	0.003529515	0.111982582	0	0.31547619	0	0.00322719	0	0	0	0.000486607	0.000509209	0.008685754
1199	chr12	130	1407	817	CRY1	CpG:130	0.94	NM_004075	107486612	107487811	0.003550663	0.112412333	0	0.651282051	0.000267566	0.000868867	0.000402436	0.000400263	0	0.001574008	0.000633751	0.000398841
377	chr19	40	59284	277	CACNG7	CpG:40	0.84	NM_031896	54412710	54413087	0.003585744	0.113280409	0	0.604166667	0.000247647	0.001596067	0	0.00074294	0	0.00104639	0.002213438	0.001528374
1287;1287	chr15	112	64784;64784	727	CRTC3;CRTC3	CpG:112	1.1	NM_001042574;NM_022769	91072689	91073976	0.003599956	0.113486898	0	0.413654618	6.83926E-05	0.002084301	8.14074E-05	6.83954E-05	5.53751E-05	0.00035967	0.000650159	0.005243075
448;744;744	chr4	61	2557;2557;2557	475	GABRA4;GABRA4;GABRA4	CpG:61	0.81	NM_000809;NM_001204267;NM_001204266	46995128	46995872	0.003610039	0.113562608	0	0.724043716	0.000505766	0.00309511	0	0.00068896	0.000828339	0.005010999	0.002100524	0.002173808
1110;1110	chr19	116	3643;3643	705	INSR;INSR	CpG:116	1.04	NM_000208;NM_001079817	7293340	7294450	0.003624976	0.113790395	0	0.5657277	0.000343055	0.002331549	0.000196862	0.000753705	7.8598E-05	0.002941115	0.001399448	0.002654085
1424;1424	chr9	139	257019;257019	983	FRMD3;FRMD3	CpG:139	0.82	NM_174938;NM_001244959	86152353	86153777	0.003693628	0.115699774	0	0.590804598	0.000283703	0.001936158	2.41178E-06	0.000265785	0.000582913	0.00267883	0.001188552	0.00194109
518;518	chr12	46	80298;80298	352	MTERFD3;MTERFD3	CpG:46	0.78	NM_025198;NM_001033050	107380558	107381076	0.00378773	0.118243626	0	0.518115942	0.000299361	0.001829371	0.000898082	0	0	0.000942498	0.000908534	0.003637081
742;742;742	chr12	60	84190;29080;29080	474	METTL25;CCDC59;CCDC59	CpG:60	0.79	NM_032230;NM_014167;NR_033192	82752004	82752746	0.003795229	0.118243626	0	0.366666667	0.000234778	0.000612025	0	0.000704333	0	0.000658408	0.000447718	0.00072995
471	chr7	41	10282	291	BET1	CpG:41	0.91	NM_005868	93633439	93633910	0.003806085	0.118243626	0	0.410569106	0	0.000901152	0	0	0	0.000936702	0.001075509	0.000691243
822	chr11	96	23360	577	FNBP4	CpG:96	0.95	NM_015308	47788200	47789022	0.003806829	0.118243626	0	0.446180556	0.000181655	0.000409267	0.000544965	0	0	0.000520292	0.00018124	0.000526268
550;550	chr5	48	345778;345778	368	MTX3;MTX3	CpG:48	0.78	NM_001010891;NM_001167741	79286584	79287134	0.003879357	0.120243795	0	0.524305556	0.000350894	0.002104736	0	0	0.001052681	0.001789801	0.002329199	0.002195206
216	chr16	23	4324	151	MMP15	CpG:23	0.91	NM_002428	58058712	58058928	0.003902144	0.120697077	0	0.898550725	0.00180104	0.006621407	0.001043216	0.003147464	0.001212442	0.005676193	0.008464414	0.005723615
211;2415;1984	chr7	185	378805;4289;378805	1413	FLJ43663;MKLN1;FLJ43663	CpG:185	0.9	NR_015431;NM_001145354;NR_024153	130790358	130792773	0.003914542	0.12079119	0	0.337837838	7.85535E-05	0.000512693	0.00023566	0	0	0.000205752	0.000446878	0.000885449
1659	chr1	133	9249	980	DHRS3	CpG:133	0.92	NM_004753	12676983	12678642	0.003921527	0.12079119	0	0.365914787	1.07495E-06	0.000385624	0	3.22486E-06	0	0.000361671	0.00012289	0.000672311
763;763;763	chr6	71	57176;57176;57176	498	VARS2;VARS2;VARS2	CpG:71	0.88	NM_001167733;NM_020442;NM_001167734	30881533	30882296	0.003939463	0.121091384	0	0.833333333	0.001382658	0.006961556	0.000697555	0.001348304	0.002102116	0.007237134	0.006747256	0.006900279
1822	chr4	203	3954	1272	LETM1	CpG:203	0.92	NM_012318	1857065	1858887	0.003952418	0.121237555	0	0.328746177	6.1907E-05	0.000888904	0	0	0.000185721	0.000359288	0.000394749	0.001912677
283	chr2	60	53353	477	LRP1B	CpG:60	0.89	NM_018557	142887724	142888553	0.003987975	0.122062228	0	0.740196078	0.000765713	0.00260286	0	0.001030153	0.001266986	0.003232222	0.00192518	0.002651177
1049	chr12	108	144165	636	PRICKLE1	CpG:108	1.12	NM_153026	42982832	42983881	0.003995815	0.122062228	0	0.404228856	9.52936E-05	0.000925397	0	0.000285881	0	0.000326747	0.001005402	0.001444042
2005	chr10	222	6840	1418	SVIL	CpG:222	0.89	NM_003174	30024072	30026077	0.004033495	0.122935689	0	0.459401709	0.000153074	0.000863383	0.000239724	0.000180028	3.94703E-05	0.00056362	0.000588088	0.001438442
787	chr3	65	1857	402	DVL3	CpG:65	1.27	NM_004423	183872925	183873712	0.004041038	0.122935689	0	0.348765432	5.67362E-07	0.00134934	1.04871E-06	0	6.53378E-07	0.000184646	0.000465849	0.003397524
648	chr10	58	219749	427	ZNF25	CpG:58	0.84	NM_145011	38265075	38265723	0.004051959	0.123014824	0	0.595238095	0.000288283	0.001148171	0.000805108	0	5.97401E-05	0.001013009	0.000709266	0.001722238
804	chr15	74	89837	567	ULK4P3	CpG:74	0.74	NR_026859	30395774	30396578	0.004133394	0.125229978	0	0.283783784	0	0.00010877	0	0	0	6.76818E-05	9.65584E-05	0.00016207
963;963;963	chr18	104	103910;103910;103910	628	MYL12B;MYL12B;MYL12B	CpG:104	1.02	NM_001144944;NM_033546;NM_001144945	3261708	3262671	0.004142699	0.125255217	0	0.357333333	3.0595E-07	0.000833345	9.17851E-07	0	0	0.000213866	0.000380658	0.00190551
919;919	chr11	76	4900;4900	625	NRGN;NRGN	CpG:76	0.72	NM_001126181;NM_006176	124609552	124610471	0.004151421	0.12526277	0	0.48245614	0.000169535	0.002663862	0.000329736	0.000125789	5.3081E-05	0.0004582	0.000580879	0.006952505
260;260	chr19	22	93134;284385	164	ZNF561;LOC284385	CpG:22	0.85	NM_152289;NM_001242812	9731734	9731994	0.004188153	0.126113728	0	0.439393939	0	0.000675903	0	0	0	0.000105118	0.000112165	0.001810425
1431	chr12	130	84915	821	FAM222A	CpG:130	1.1	NM_032829	110151327	110152758	0.004229196	0.127090765	0	0.425257732	0.000299657	0.001158741	0.000264564	0.000558679	7.57278E-05	0.00058012	0.000760152	0.00213595
422	chr4	32	9848	262	MFAP3L	CpG:32	0.79	NM_021647	170948486	170948908	0.004298288	0.128729166	0	0.369791667	0	0.000967258	0	0	0	0.00117228	0.000338217	0.001391276
625	chr11	85	5866	472	RAB3IL1	CpG:85	0.97	NM_013401	61684591	61685216	0.004301398	0.128729166	0	0.377289377	0	0.001303809	0	0	0	0.000901157	0.000427103	0.002583167
722;722;408;408;408;722	chr3	64	11068;51364;11186;11186;11186;10641	468	CYB561D2;ZMYND10;RASSF1;RASSF1;RASSF1;NPRL2	CpG:64	0.85	NM_007022;NM_015896;NM_007182;NM_001206957;NM_170714;NM_006545	50387959	50388681	0.004309837	0.128729166	0	0.578125	0.000845454	0.003863076	0.000982019	0.000535557	0.001018787	0.001525334	0.002846989	0.007216905
205	chr17	25	406972	147	MIR196A1	CpG:25	0.96	NR_029582	46713926	46714131	0.004341699	0.129419384	0	0.5	0	0.004294131	0	0	0	0.002970956	0.002050408	0.007861029
456	chr19	36	79165	309	LENG1	CpG:36	0.72	NM_024316	54665921	54666377	0.00435218	0.129470778	0	0.819444444	0.000860471	0.009342576	1.25816E-07	0.001179683	0.001401604	0.004665222	0.004214778	0.019147727
887	chr4	95	10699	878	CORIN	CpG:95	0.66	NM_006587	47838604	47839946	0.004376282	0.129926357	0	0.356140351	0.000296561	0.000675388	0	0.000889684	0	0.000625277	0.000618697	0.000782189
1115;1115	chr11	102	256472;10897	712	TMEM151A;YIF1A	CpG:102	0.9	NM_153266;NM_020470	66056209	66057324	0.004466949	0.132352389	0	0.426426426	0.000129602	0.001219639	0	0.000380721	8.08672E-06	0.000411633	0.000548446	0.002698837
439;439	chr14	43	5228;5228	277	PGF;PGF	CpG:43	0.98	NM_002632;NM_001207012	75422068	75422507	0.004483059	0.132362052	0	0.947530864	0.001619566	0.007550621	0.001082451	0.001999988	0.00177626	0.004140166	0.004123802	0.014387895
1510;1510	chr2	160	8853;8853	890	ASAP2;ASAP2	CpG:160	1.26	NM_003887;NM_001135191	9346383	9347944	0.00448518	0.132362052	0	0.354077253	8.75984E-08	0.000369371	0	2.62795E-07	0	0.000371634	0.000488751	0.000247729
510;220;510	chr4	56	132884;132884;2121	384	EVC2;EVC2;EVC	CpG:56	0.77	NM_147127;NM_001166136;NM_153717	5709985	5710495	0.004516674	0.133025937	0	0.782738095	0.000460689	0.002601735	2.13314E-05	0.000944936	0.000415799	0.001485601	0.001293701	0.005025902
1778;1778;1778;1778	chr19	118	126129;126129;126129;126129	1067	CPT1C;CPT1C;CPT1C;CPT1C	CpG:118	0.74	NM_001199752;NM_001199753;NM_001136052;NM_152359	50193020	50194798	0.004539089	0.133420338	0	0.86827957	0.005542126	0.019560879	0.002161454	0.005317003	0.009147921	0.024304665	0.018853777	0.015524195
647	chr3	69	9942	420	XYLB	CpG:69	1.01	NM_005108	38388122	38388769	0.004555731	0.133545483	0	0.512048193	0.000239745	0.003336379	4.7742E-05	0.000606584	6.49098E-05	0.000959155	0.001165272	0.00788471
1104;924;1104	chr11	103	27122;27122;27122	758	DKK3;DKK3;DKK3	CpG:103	0.82	NM_015881;NM_013253;NM_001018057	12029737	12030841	0.004561411	0.133545483	0	0.601515152	0.000153801	0.002236983	0	2.0527E-06	0.000459352	0.001434403	0.001553548	0.003722996
915;915	chr17	59	5691;7703	546	PSMB3;PCGF2	CpG:59	0.73	NM_002795;NM_007144	36908662	36909577	0.004581782	0.133876776	0	0.449152542	0.000424433	0.001347899	0.000416882	0	0.000856418	0.001681089	0.000688774	0.001673835
580	chr19	63	53345	432	TM6SF2	CpG:63	0.8	NM_001001524	19383703	19384283	0.004593961	0.133967879	0	0.804232804	0.000984708	0.003879993	1.56363E-05	0.001334621	0.001603867	0.004204222	0.002611272	0.004824486
709	chr22	82	652968	517	GATSL3	CpG:82	0.88	NM_001037666	30685195	30685904	0.004695811	0.136668432	0	0.274390244	0	0.000489874	0	0	0	5.52291E-05	4.60268E-05	0.001368367
533;533	chr2	48	6120;6120	349	RPE;RPE	CpG:48	0.84	NM_199229;NM_006916	210867172	210867705	0.00473882	0.137649224	0	0.413194444	0	0.003101157	0	0	0	0.000903356	0.001697679	0.006702435
1010;1010;1010;1010	chr11	105	8525;8525;8525;8525	641	DGKZ;DGKZ;DGKZ;DGKZ	CpG:105	1.05	NM_001199266;NM_001199267;NM_003646;NM_001199268	46368650	46369660	0.00477768	0.138505884	0	0.988721805	0.006138026	0.003890378	0.009438504	0.004341629	0.004633945	0.001867451	0.003219757	0.006583926
1031	chr11	88	282679	633	AQP11	CpG:88	0.91	NM_173039	77300360	77301391	0.004855712	0.140330398	0	0.41509434	1.62958E-05	0.002637361	2.53664E-05	1.78444E-05	5.67663E-06	0.000405206	0.000890657	0.006616219
257;257	chr1	34	8438;8438	176	RAD54L;RAD54L	CpG:34	1.14	NM_003579;NM_001142548	46705908	46706165	0.004859599	0.140330398	0	1	0.020119562	0.011854662	0.020123235	0.020249271	0.019986179	0.012574673	0.007599919	0.015389394
1016;1016	chr7	106	3092;3092	715	HIP1;HIP1	CpG:106	0.87	NM_001243198;NM_005338	75368062	75369078	0.004882714	0.140723053	0	0.461651917	4.67635E-07	0.001345972	0	0	1.4029E-06	0.000767474	0.000560095	0.002710346
1169	chr11	108	112464	982	PRKCDBP	CpG:108	0.66	NM_145040	6340445	6341909	0.004920058	0.141523451	0	0.731481481	0.003428321	0.0074401	0.002865081	0.003056542	0.004363339	0.010309114	0.005006651	0.007004536
1383	chr9	120	54926	870	UBE2R2	CpG:120	0.95	NM_017811	33816798	33818300	0.004934598	0.141666078	0	0.296774194	6.75835E-05	0.000304455	0	0.000202751	0	0.000279749	0.000236671	0.000396944
208	chr6	16	7280	138	TUBB2A	CpG:16	0.7	NM_001069	3156959	3157167	0.004954429	0.141959764	0	0.541666667	3.27782E-05	0.001272964	0	9.83345E-05	0	0.002055061	0.00049026	0.001273569
591;591	chr3	58	11188;7134	352	NISCH;TNNC1	CpG:58	1.17	NM_007184;NM_003280	52489417	52490008	0.004985561	0.142575463	0	0.447368421	1.48721E-05	0.001063324	2.75482E-05	1.70682E-05	0	0.000265424	0.00033669	0.002587857
520;520	chr3	57	55171;51726	344	TBCCD1;DNAJB11	CpG:57	1.01	NM_018138;NM_016306	186284809	186285329	0.005025193	0.143037405	0	0.482051282	0	0.001934054	0	0	0	0.000666051	0.000778924	0.004357187
267	chr19	27	199731	189	CADM4	CpG:27	1.15	NM_145296	44144232	44144499	0.005029489	0.143037405	0	0.481481481	1.03948E-05	0.002990312	3.11843E-05	0	0	0.001164366	0.004307975	0.003498594
693;693	chr1	77	55248;55248	495	TMEM206;TMEM206	CpG:77	0.88	NM_018252;NM_001198862	212587591	212588284	0.005030737	0.143037405	0	0.608225108	2.51304E-05	0.001292343	1.60796E-05	1.77238E-05	4.15877E-05	0.000723977	0.000903842	0.002249211
475;475;475	chr2	56	90342;NA;55683	322	FER1L5;NA;KANSL3	CpG:56	1.03	NM_001113382;NM_017991;NM_001115016	97303912	97304387	0.005057639	0.143526291	0	0.630952381	0.000408822	0.003106536	0.000741046	0.000485419	0	0.000999292	0.001226416	0.0070939
984;984;984;984	chr6	97	5754;5754;5754;5754	682	PTK7;PTK7;PTK7;PTK7	CpG:97	0.85	NM_002821;NM_152882;NM_152881;NM_152880	43044044	43045057	0.005096195	0.144343387	0	0.408496732	0.00030672	0.001139957	0	0.000416789	0.00050337	0.000527029	0.001159852	0.001732991
593;593	chr12	48	79867;79867	384	TCTN2;TCTN2	CpG:48	0.77	NM_024809;NM_001143850	124155578	124156171	0.005122971	0.144824324	0	0.510416667	3.54393E-07	0.003524459	1.06318E-06	0	0	0.001244486	0.002278062	0.00705083
1976;1976	chr12	160	6926;6926	1194	TBX3;TBX3	CpG:160	0.97	NM_016569;NM_005996	115120774	115122945	0.00515271	0.145153889	0	0.693612774	0.00088383	0.00386132	0.000332833	0.001738392	0.000580266	0.003410463	0.00226766	0.005905838
585	chr11	56	25996	401	REXO2	CpG:56	0.87	NM_015523	114310001	114310586	0.005154264	0.145153889	0	0.431547619	0	0.001871509	0	0	0	0.000767956	0.000721373	0.004125197
245;245;245;245;245	chr3	23	55129;55129;55129;55129;55129	158	ANO10;ANO10;ANO10;ANO10;ANO10	CpG:23	0.93	NM_001204834;NM_018075;NM_001204831;NM_001204832;NM_001204833	43663661	43663906	0.005173341	0.145414156	0	0.623188406	0.000208726	0.002187521	0	0.000626179	0	0.001337219	0.001580586	0.003644757
701	chr19	57	7297	453	TYK2	CpG:57	0.79	NM_003331	10491019	10491720	0.005198083	0.145832361	0	0.374269006	0	0.001730528	0	0	0	0.000694268	0.000868886	0.00362843
1331	chr9	120	100506190	844	LOC100506190	CpG:120	0.9	NR_038955	132244401	132245732	0.005244743	0.146740261	0	0.627659574	0.00078181	0.00332978	0.000276124	0.000628557	0.001440749	0.003419784	0.00356757	0.003001987
2090	chr22	201	25817	1152	FAM19A5	CpG:201	1.27	NM_015381	48970857	48972947	0.005250294	0.146740261	0	0.762355415	0.000559804	0.002660334	0.000222	0.000732956	0.000724454	0.001502818	0.00167516	0.004803023
562	chr16	50	5432	351	POLR2C	CpG:50	0.92	NM_032940	57496476	57497038	0.00527895	0.147262797	0	0.471698113	0	0.001657092	0	0	0	0.000640147	0.001309562	0.003021567
505	chr1	58	5590	376	PRKCZ	CpG:58	0.84	NM_002744	1976123	1976628	0.005389849	0.150073287	0	0.867816092	0.001076466	0.005899932	0.000685341	0.001955663	0.000588395	0.003505141	0.003311887	0.010882768
1136;1136	chr11	111	5138;5138	736	PDE2A;PDE2A	CpG:111	0.94	NM_001143839;NM_001243784	72353222	72354358	0.005424598	0.150756916	0	0.607235142	0.000321539	0.001702363	7.90433E-05	0.000438321	0.000447252	0.000594543	0.001197562	0.003314982
756;756	chr3	60	79885;79885	444	HDAC11;HDAC11	CpG:60	0.93	NM_001136041;NM_024827	13521506	13522262	0.005482113	0.152069483	0	0.402298851	7.18965E-06	0.004458265	1.28015E-05	6.16117E-06	2.6063E-06	0.000584906	0.000484871	0.012305016
708	chr9	86	5069	544	PAPPA	CpG:86	0.96	NM_002581	118916362	118917175	0.005506096	0.152448738	0	0.5	0	0.00105037	0	0	0	0.001984555	0.00076825	0.000398304
714;714;714;714;714;714	chr3	75	7012;55892;55892;55892;55892;55892	470	TERC;MYNN;MYNN;MYNN;MYNN;MYNN	CpG:75	0.97	NR_001566;NR_033703;NR_033702;NM_018657;NM_001185118;NM_001185119	169482338	169483052	0.005555419	0.153347352	0	0.466666667	0	0.002193695	0	0	0	0.000854213	0.000611285	0.005115588
460	chr19	46	126070	318	ZNF440	CpG:46	0.84	NM_152357	11925086	11925546	0.005559295	0.153347352	0	0.52173913	2.78799E-06	0.002522047	1.34027E-07	0	8.22993E-06	0.00094811	0.001432957	0.005185072
1062	chr22	116	414918	704	DENND6B	CpG:116	0.99	NM_001001794	50765047	50766109	0.005600656	0.154200549	0	0.788812785	0.001746068	0.006007614	0.002039045	0.001523876	0.001675283	0.003368683	0.003615701	0.011038457
1954	chr13	154	266722	1123	HS6ST3	CpG:154	1	NM_153456	96742138	96744162	0.00566059	0.155171892	0	0.447640118	0.000139494	0.000796533	0.000231489	0.000186991	0	0.000430093	0.000790863	0.001168644
419;419;419;419	chr3	39	2122;2122;2122;2122	259	MECOM;MECOM;MECOM;MECOM	CpG:39	0.99	NM_001105078;NM_001105077;NM_001163999;NM_005241	168864030	168864449	0.005661218	0.155171892	0	0.564102564	0.00036187	0.001276297	0	0.00108561	0	0.001110499	0.00104749	0.001670903
1180	chr13	122	8428	766	STK24	CpG:122	1.05	NM_001032296	99228319	99229576	0.005667421	0.155171892	0	0.316860465	9.79238E-05	0.000474002	0	0	0.000293771	0.000220927	0.00051109	0.000689988
1108;1108	chr16	117	84706;84706	767	GPT2;GPT2	CpG:117	0.89	NM_001142466;NM_133443	46917849	46918957	0.005765967	0.156984908	0	0.389333333	5.52015E-05	0.001199485	4.18361E-05	0.000104267	1.95019E-05	0.000375073	0.000193229	0.003030154
371	chr18	34	9388	252	LIPG	CpG:34	0.79	NM_006033	47087075	47087446	0.005774153	0.156984908	0	0.529411765	0.000143585	0.004817554	0	0	0.000430756	0.008848531	0.002013929	0.003590203
806	chr6	76	3133	524	HLA-E	CpG:76	0.89	NM_005516	30457369	30458175	0.005795006	0.156984908	0	0.747916667	0.000986584	0.004930079	0.002458069	0.000501682	0	0.002352865	0.002939233	0.009498139
526	chr4	45	55161	337	TMEM33	CpG:45	0.83	NM_018126	41937098	41937624	0.005805101	0.156984908	0	0.414814815	8.55824E-08	0.003943257	2.56747E-07	0	0	0.000865735	0.001086315	0.009877721
519	chr12	46	5992	328	RFX4	CpG:46	0.91	NM_213594	106975195	106975714	0.005811769	0.156984908	0	0.711538462	0.000739265	0.001689341	5.78695E-05	0	0.002159927	0.001513908	0.00209949	0.001454625
510;510;510	chr16	58	81533;5257;5257	358	ITFG1;PHKB;PHKB	CpG:58	0.92	NM_030790;NM_000293;NM_001031835	47494697	47495207	0.005814894	0.156984908	0	0.445402299	4.44305E-06	0.001299651	1.33292E-05	0	0	0.000740318	0.001273671	0.001884965
