s__Enterococcus_B hirae	GCA_000271405.2
s__Psychrobacillus sp008807035	GCF_008807035.1
s__Borreliella maritima	GCF_008931845.1
s__Pseudomonas sp009189165	GCF_009189165.1
s__Flavobacterium haoranii	GCF_009363055.1
s__Azotobacter salinestris	GCF_009363155.1
s__Sphingobacterium sp009557615	GCF_009557615.1
s__Actinomarinicola tropica	GCF_009650215.1
s__Streptococcus sp001556435	GCF_009738225.1
s__Paraglaciecola sp009796745	GCF_009796745.1
s__Rathayibacter sp009834225	GCF_009834225.1
s__Actinomyces sp009930875	GCF_009930875.1
s__Sphingomonas insulae	GCF_010450875.1
s__Collinsella aerofaciens	GCF_010509075.1
s__Mycobacterium sp002946335	GCF_010725485.1
s__Mycobacterium insubricum	GCF_010731615.1
s__Corynebacterium lizhenjunii	GCF_011038655.2
s__Rhizobium_A pseudoryzae	GCF_011046245.1
s__Apibacter sp002964915	GCF_011082725.1
s__Gordonia sp002009645	GCF_011290605.1
s__Lysobacter_B sp011300685	GCF_011300685.1
s__Pedobacter sp003852395	GCF_011303555.1
s__Vagococcus hydrophili	GCF_011304195.1
s__Vibrio sp011306175	GCF_011306175.1
s__Nitrospira_C sp011405515	GCF_011405515.1
s__Basfia succiniciproducens	GCF_011455875.1
s__Stenotrophomonas maltophilia_AO	GCF_011604605.1
s__Corynebacterium matruchotii	GCF_011612265.2
s__ZJ293 sp011751725	GCF_011751945.2
s__Allofrancisella inopinata	GCF_012222965.1
s__Hymenobacter sp012273015	GCF_012273015.1
s__Oxynema aestuarii	GCF_012295525.1
s__Leifsonia sp002105485	GCF_012317045.1
s__GCA-012562765 sp012562765	GCF_012562765.1
s__GCA-012562765 sp012571345	GCF_012571345.1
s__Spirosoma sp012849055	GCF_012849055.1
s__Pseudomonas_E sp000242655	GCF_012935715.1
s__Sphingopyxis lacunae	GCF_012979535.1
s__Achromobacter deleyi_A	GCF_013116765.2
s__Campylobacter_D ornithocola	GCF_013201605.1
s__Tenuifilum thalassicum	GCF_013265555.1
s__Yersinia mollaretii	GCF_013282725.1
s__Hydrogenovibrio marinus	GCF_013340845.1
s__Acinetobacter lwoffii_C	GCF_013343215.1
s__Oricola thermophila	GCF_013358405.1
s__Wolbachia sp013365455	GCF_013365455.1
s__Campylobacter_A curvus	GCF_013372125.1
s__Aliarcobacter cibarius	GCF_013372265.1
s__Streptococcus sp013394695	GCF_013394695.1
s__Bdellovibrio sp013752535	GCF_013752535.1
s__Companilactobacillus pabuli	GCF_014058425.1
s__Flaviflexus sp014069875	GCF_014069875.1
s__Comamonas testosteroni_F	GCF_014076415.1
s__Legionella sp014109825	GCF_014109825.1
s__Lacibacter sp014168535	GCF_014168535.1
s__Mesorhizobium huakuii_A	GCF_014189455.1
s__Pseudarthrobacter sp014217545	GCF_014217545.1
s__Mycoavidus sp014218255	GCF_014218255.1
s__Blattabacterium cuenoti_D	GCF_014252055.1
s__Blattabacterium cuenoti_AI	GCF_014252315.1
s__Pseudomonas_E sp014270125	GCF_014268595.2
s__Edaphobacter sp014274685	GCF_014274685.1
s__Synechococcus_C sp014279835	GCF_014279835.1
s__Dyella sp014297575	GCF_014297575.1
s__Sphingomicrobium rhizophilum	GCF_014396585.1
s__Dissulfurispira thermophila	GCF_014701235.1
s__Micromonospora craniellae	GCF_014764405.1
s__Pseudarthrobacter luteus_A	GCF_014764445.1
s__Campylobacter_D sp003627915	GCF_014931215.1
s__GCA-2699585 sp015500095	GCF_015500095.1
s__Massilia sp001485665	GCF_015689335.1
s__Streptomyces solisilvae	GCF_015689475.1
s__Brevundimonas sp016656965	GCF_016656965.1
s__Aequorivita sp016757735	GCF_016757735.1
s__Bulleidia sp016812035	GCF_016812035.1
s__Paracoccus sp002359815	GCF_016919705.1
s__Fulvivirga sp017068455	GCF_017068455.1
s__Paenibacillus sp017086365	GCF_017086365.1
s__Paenarthrobacter sp017357425	GCF_017357425.1
s__Polaribacter sp017569185	GCF_017569185.1
s__Cognatishimia activa_A	GCF_017798205.1
s__Aromatoleum bremense	GCF_017894365.1
s__Streptomyces mobaraensis	GCF_017916255.1
s__WSTA01 sp018024495	GCF_018024495.1
s__JABCPH02 sp013333235	GCF_018128245.1
s__Moritella sp018219155	GCF_018219155.1
s__Polynucleobacter sp018687615	GCF_018687615.1
s__Flammeovirga yaeyamensis	GCF_018736045.1
s__Ochrobactrum_A sp018798825	GCF_018798825.1
s__Streptomyces sp001895105	GCF_018866325.1
s__Terribacillus aidingensis_A	GCF_019056395.1
s__Pseudomonas_E sp019139675	GCF_019139675.1
s__Cutibacterium granulosum	GCF_900186975.1
s__Sphingobacterium mizutaii	GCF_900187125.1
s__Campylobacter fetus	GCF_900475935.1
s__Petrocella atlantisensis	GCF_900538275.1
s__Streptococcus sanguinis_G	GCF_900635155.1
s__Avibacterium volantium	GCF_900635775.1
s__Parvimonas micra	GCF_900637905.1
s__Mycoplasmopsis_A gallopavonis	GCF_900660635.1
s__Hathewaya histolytica	GCF_901482605.1
s__Variovorax sp901827205	GCF_901827205.1
s__Paraburkholderia sp000178415	GCF_902459535.1
s__Pseudorhizobium flavum	GCF_902502825.2
s__Corynebacterium rouxii	GCF_902702935.1
s__Pelethocola sp018866245	GCA_018866245.1
s__Bacillus subtilis	GCF_000009045.1
s__Synechococcus elongatus	GCF_000010065.1
s__Malacoplasma penetrans	GCF_000011225.1
s__Bradyrhizobium diazoefficiens	GCF_000011365.1
s__Thiobacillus denitrificans_B	GCF_000012745.1
s__Saccharophagus degradans	GCF_000013665.1
s__Methylobacillus flagellatus	GCF_000013705.1
s__Polaromonas sp000013865	GCF_000013865.1
s__Granulibacter bethesdensis	GCF_000014285.2
s__Bartonella bacilliformis	GCF_000015445.1
s__Prochlorococcus_A marinus_P	GCF_000015665.1
s__Cellvibrio japonicus	GCF_000019225.1
s__Leptothrix cholodnii	GCF_000019785.1
s__Natranaerobius thermophilus	GCF_000020005.1
s__Pseudarthrobacter chlorophenolicus	GCF_000022025.1
s__Acidobacterium capsulatum	GCF_000022565.1
s__Beutenbergia cavernae	GCF_000023105.1
s__Zunongwangia profunda	GCF_000023465.1
s__Streptosporangium roseum	GCF_000024865.1
s__Mageeibacillus indolicus	GCF_000025225.2
s__Thioalkalivibrio sp000025545	GCF_000025545.1
s__Erwinia tasmaniensis	GCF_000026185.1
s__Arcobacter nitrofigilis	GCF_000092245.1
s__Syntrophothermus lipocalidus	GCF_000092405.1
s__Olsenella uli	GCF_000143845.1
s__Shewanella oneidensis	GCF_000146165.2
s__Roseobacter litoralis	GCF_000154785.2
s__Octadecabacter arcticus	GCF_000155735.2
s__Rhodomicrobium vannielii	GCF_000166055.1
s__Caldicellulosiruptor hydrothermalis	GCF_000166355.1
s__Komagataeibacter medellinensis	GCF_000182745.2
s__Pelobium saltans	GCF_000190735.1
s__Mycetohabitans rhizoxinica	GCF_000198775.1
s__Alicycliphilus denitrificans	GCF_000204645.1
s__Termitinema primitia	GCF_000214375.1
s__Ramlibacter tataouinensis	GCF_000215705.1
s__Thioalkalivibrio_B paradoxus	GCF_000227685.2
s__Mycobacterium rhodesiae_A	GCF_000230895.2
s__Oceanimonas sp000243075	GCF_000243075.1
s__Salmonella bongori	GCF_000252995.1
s__Desulfosporosinus acidiphilus	GCF_000255115.2
s__Shimwellia blattae	GCF_000262305.1
s__Aequorivita sublithincola	GCF_000265385.1
s__Pelosinus fermentans_A	GCF_000271665.2
s__Alcanivorax dieselolei	GCF_000300005.1
s__Rivularia sp000316665	GCF_000316665.1
s__Microcoleus sp000317475	GCF_000317475.1
s__Bdellovibrio bacteriovorus_F	GCF_000317895.1
s__Kinetoplastibacterium crithidii	GCF_000319225.1
s__Liberibacter crescens	GCF_000325745.1
s__Corynebacterium callunae	GCF_000344785.1
s__Micavibrio aeruginosavorus_A	GCF_000348745.1
s__Aromatoleum sp000349945	GCF_000349945.1
s__Sorangium cellulosum_D	GCF_000418325.1
s__Streptomyces collinus_A	GCF_000444875.1
s__Variovorax paradoxus_E	GCF_000463015.1
s__Chlamydophila gallinacea	GCF_000471025.2
s__Spiroplasma_B sabaudiense	GCF_000565215.1
s__Walczuchella monophlebidarum	GCF_000709555.1
s__Virgibacillus sp000725285	GCF_000725285.1
s__Campylobacter iguaniorum	GCF_000736415.1
s__Sphingomonas taxi	GCF_000764535.1
s__Vibrio tubiashii	GCF_000772105.1
s__Streptococcus salivarius	GCF_000785515.1
s__Sphingopyxis fribergensis	GCF_000803645.1
s__Campylobacter_D peloridis	GCF_000816785.1
s__Geoalkalibacter_A subterraneus	GCF_000827125.1
s__Ishikawaella capsulata	GCF_000828515.1
s__Rippkaea sp000829235	GCF_000829235.1
s__Chryseobacterium sp000829375	GCF_000829375.1
s__Rugosibacter aromaticivorans	GCF_000934545.1
s__Burkholderia gladioli	GCF_000959725.1
s__Mycoplasmopsis_A synoviae	GCF_000969765.1
s__Blochmannia sp000973545	GCF_000973545.1
s__Sedimenticola thiotaurini	GCF_001007875.1
s__Archangium gephyra	GCF_001027285.1
s__Burkholderia pyrrocinia	GCF_001028665.1
s__Francisella orientalis	GCF_001042525.2
s__Methylophilus sp001183865	GCF_001183865.1
s__Anoxybacillus gonensis	GCF_001187595.1
s__Spiroplasma_A turonicum	GCF_001262715.1
s__Bifidobacterium actinocoloniiforme	GCF_001263395.1
s__Dolichospermum sp001277295	GCF_001277295.1
s__Sphingopyxis sp001278035	GCF_001278035.1
s__Streptomyces pristinaespiralis	GCF_001278075.1
s__Beggiatoa leptomitoformis	GCF_001305575.3
s__Agarivorans gilvus	GCF_001420915.1
s__Mycobacterium smegmatis	GCF_001457595.1
s__Burkholderia sp001524625	GCF_001524625.2
s__Thermus parvatiensis	GCF_001535545.1
s__Aerococcus urinaehominis	GCF_001543245.1
s__Thermosulfidibacter takaii	GCF_001547735.1
s__Asaia bogorensis	GCF_001547995.1
s__Sulfurospirillum sp001548035	GCF_001548035.1
s__Collimonas fungivorans	GCF_001584145.1
s__Sporosarcina psychrophila	GCF_001590685.1
s__Fictibacillus phosphorivorans_A	GCF_001629705.1
s__Ectothiorhodospira sp001632845	GCF_001632845.1
s__Corynebacterium crudilactis	GCF_001643015.1
s__Acinetobacter sp001647675	GCF_001647675.1
s__Erythrobacter ishigakiensis	GCF_001663155.1
s__Bordetella_C bronchialis	GCF_001676705.1
s__Acinetobacter larvae	GCF_001704115.1
s__Kangiella sediminilitoris	GCF_001708405.1
s__Bosea sp001713455	GCF_001713455.1
s__Centipeda sp001717585	GCF_001717585.1
s__Erythrobacter litoralis	GCF_001719165.1
s__Salisediminibacterium beveridgei	GCF_001721685.1
s__Enterobacter roggenkampii	GCF_001729805.1
s__Jeongeupia sp001808185	GCF_001808185.1
s__Janthinobacterium sp001865675	GCF_001865675.1
s__Sulfitobacter alexandrii	GCF_001886735.1
s__Enterobacter_D sp001888805	GCF_001888805.2
s__Microbacterium sp001889265	GCF_001889265.1
s__Borreliella garinii	GCF_001922545.1
s__Corynebacterium frankenforstense	GCF_001941485.1
s__Corynebacterium sphenisci	GCF_001941505.1
s__Rhodovulum sp002073975	GCF_002073975.1
s__Prosthecochloris sp002113825	GCF_002113825.1
s__Bordetella_C sp002119725	GCF_002119725.1
s__Francisella halioticida	GCF_002211785.1
s__Virgibacillus_F phasianinus	GCF_002216775.1
s__Actinoalloteichus hoggarensis	GCF_002234535.1
s__Cytobacillus kochii	GCF_002276165.1
s__Planktophila vernalis	GCF_002288185.1
s__Stanieria sp002355455	GCF_002355455.1
s__Streptomyces formicae	GCF_002556545.1
s__Lactobacillus amylovorus	GCF_002706375.1
s__Williamsoniiplasma freundtii	GCF_002804205.1
s__Olleya sp002831645	GCF_002831645.1
s__Paracoccus jeotgali	GCF_002865605.1
s__Trichormus sp002896875	GCF_002896875.1
s__Vibrio hyugaensis	GCF_002906655.1
s__Streptomyces dengpaensis	GCF_002946835.1
s__Nostoc sp002949795	GCF_002949795.1
s__Lactiplantibacillus sp002970935	GCF_002970935.1
s__Lysinibacillus sphaericus	GCF_002982115.1
s__Staphylococcus felis	GCF_003012915.1
s__Phycorickettsia trachydisci	GCF_003015145.1
s__Pseudoduganella armeniaca	GCF_003028855.1
s__Aeromicrobium chenweiae	GCF_003065605.1
s__Buchnera aphidicola_P	GCF_003096055.1
s__Salipiger pacificus_A	GCF_003111685.1
s__Phenylobacterium parvum	GCF_003150835.1
s__Deinococcus irradiatisoli	GCF_003173015.1
s__Amycolatopsis albispora	GCF_003312875.1
s__Acidipropionibacterium virtanenii	GCF_003325455.1
s__Chromobacterium phragmitis	GCF_003325475.1
s__Hydromonas cinctiostellae	GCF_003339525.1
s__Aquirhabdus parva	GCF_003351745.1
s__Oceanobacillus zhaokaii	GCF_003352005.1
s__Purcelliella pentastirinorum	GCF_003391335.1
s__Breoghania sp003432385	GCF_003432385.1
s__Marinobacter sp003441595	GCF_003441595.1
s__Rubrobacter indicoceani	GCF_003568865.1
s__Alteromonas sp002729795	GCF_003584565.2
s__Methylocaldum marinum	GCF_003584645.1
s__Thermomonospora amylolytica	GCF_003589885.1
s__Streptococcus ruminantium	GCF_003609975.1
s__Kaistella sp003692615	GCF_003692615.1
s__Chryseobacterium sp003815655	GCF_003815655.1
s__Flaviflexus salsibiostraticola	GCF_003952265.1
s__Mesorhizobium sp003952365	GCF_003952365.1
s__Latilactobacillus curvatus	GCF_004101845.1
s__Bradyrhizobium guangzhouense	GCF_004114955.1
s__Iodobacter fluviatilis_A	GCF_004194535.1
s__Lichenihabitans psoromatis	GCF_004323635.1
s__Hymenobacter radiodurans	GCF_004355185.1
s__Hydrogenophaga sp004795855	GCF_004795855.1
s__Rhodococcus_B sp004795915	GCF_004795915.1
s__Escherichia sp005843885	GCF_005843885.1
s__Nocardioides dongxiaopingii	GCF_005954645.2
s__Elizabethkingia sp006088815	GCF_006088815.1
s__Oceanitalea sp006349365	GCF_006349365.1
s__Lactococcus sp006965445	GCF_006965445.1
s__Stenotrophomonas maltophilia_O	GCF_006974125.1
s__Formosa sediminum	GCF_007197735.1
s__Poriferisphaera corsica	GCF_007747445.1
s__Aureliella helgolandensis	GCF_007752135.1
s__Brevibacillus_B laterosporus_D	GCF_007833815.1
s__Arthrobacter_I sp007858535	GCF_007858535.1
s__Sphingomonas panacisoli	GCF_007859635.1
s__Roseimaritima ulvae	GCF_008065135.1
s__SY095 sp008152325	GCF_008152325.1
s__Streptomyces nitrosporeus	GCF_008704555.1
s__Roseovarius indicus	GCF_008728195.1
s__Streptomyces phaeolivaceus	GCF_009184865.1
s__Erythrobacter sp009363635	GCF_009363635.1
s__Roseovarius sp009363655	GCF_009363655.1
s__Amycolatopsis sp009429145	GCF_009429145.1
s__Pseudomonas_E kilonensis_B	GCF_009601685.2
s__Streptomyces sp003259585	GCF_009650765.1
s__Leuconostoc mesenteroides_B	GCF_009676745.1
s__Occultella sp009708215	GCF_009708215.1
s__ZJ450 sp009755725	GCF_009755725.1
s__Pseudodesulfovibrio cashew	GCF_009762795.1
s__Vibrio cidicii	GCF_009763805.1
s__Streptomyces sp009834125	GCF_009834125.1
s__Pseudomonas_E sp009834565	GCF_009834565.1
s__Trichormus variabilis	GCF_009856605.1
s__Pseudarthrobacter psychrotolerans	GCF_009911795.1
s__Sphingomonas_B sp009913435	GCF_009913435.1
s__Granulicella_C sp009914315	GCF_009914315.1
s__Mycobacterium xenopi	GCF_009936235.1
s__Edaphobacter sp010093025	GCF_010093025.1
s__Hydrogenophaga sp010104355	GCF_010104355.1
s__Spiroplasma_A sp010365805	GCF_010365805.1
s__Mycobacterium tokaiense	GCF_010725885.1
s__Mycobacterium boenickei	GCF_010731295.1
s__Mycobacterium celeriflavum	GCF_010731795.1
s__Denitromonas sp010983895	GCF_010983895.1
s__Pikeienuella piscinae	GCF_011044155.1
s__Proteus sp011046025	GCF_011046025.1
s__Microbacterium sp011046485	GCF_011046485.1
s__Rhizobium_A rhizoryzae	GCF_011046895.1
s__Monaibacterium sp011290545	GCF_011290545.1
s__Hydrogenophaga sp011388215	GCF_011388215.1
s__Brevibacterium sp011617465	GCF_011617465.1
s__Protaetiibacter sp011751905	GCF_011751865.2
s__Mycoplasmopsis_A gallinacea_A	GCF_012220205.1
s__Ferrimonas lipolytica	GCF_012295575.1
s__Pseudodesulfovibrio sp012516435	GCF_012516435.1
s__Usitatibacter palustris	GCF_013003985.1
s__Aliarcobacter cloacae	GCF_013201935.1
s__Aquimarina sp013365535	GCF_013365535.1
s__Campylobacter_D armoricus	GCF_013372105.1
s__Enterococcus_B pernyi	GCF_013394305.1
s__Pseudomonas_E yamanorum_B	GCF_013403585.1
s__Nocardioides ungokensis	GCF_013466985.1
s__RHBSTW-00994 sp013782625	GCF_013782625.1
s__Kingella_B oralis	GCF_014054985.1
s__Phyllobacterium sp014189505	GCF_014189505.1
s__Metabacillus litoralis_A	GCF_014217835.1
s__Anaerocolumna sp014218355	GCF_014218355.1
s__Bacillus_P sp002858905	GCF_014235785.1
s__Blattabacterium cuenoti_AG	GCF_014251275.1
s__Synechococcus_C sp014279795	GCF_014279795.1
s__Alkalicella caledoniensis	GCF_014467015.1
s__Protaetiibacter sp014483895	GCF_014483895.1
s__Sphingomonas alpina	GCF_014490665.1
s__Pseudomonas_B oryzihabitans_D	GCF_014522265.1
s__Bifidobacterium lemurum	GCF_014898175.1
s__Pseudomonas_A stutzeri_AC	GCF_015291885.1
s__Rhizobium yanglingense	GCF_015353075.1
s__Pectobacterium aroidearum	GCF_015689195.1
s__Streptomyces bathyalis	GCF_015910445.1
s__Streptococcus oralis_AC	GCF_016028255.1
s__Fluviibacter phosphoraccumulans	GCF_016110345.1
s__Actinomyces weissii	GCF_016598775.1
s__Bradyrhizobium diazoefficiens_F	GCF_016616885.1
s__Alteromonas sp009811495	GCF_016756315.1
s__Polaribacter sp016858305	GCF_016858305.2
s__Azonexus sp016864195	GCF_016864195.1
s__Archangium violaceum_B	GCF_016887565.1
s__Amycolatopsis sp016889705	GCF_016889705.1
s__Natronoglycomyces albus	GCF_016925535.1
s__Desulfonema limicola	GCF_017377355.1
s__Ottowia sp017498525	GCF_017498525.1
s__Brevilactibacter sp014164685	GCF_017569205.1
s__Agrobacterium tumefaciens_B	GCF_017726655.1
s__Prevotella sp000467895	GCF_018128065.1
s__Vallitalea pronyensis	GCF_018141445.1
s__Photobacterium sp018199995	GCF_018199995.1
s__Chloracidobacterium aggregatum	GCF_018304765.1
s__Agrococcus sp018308945	GCF_018308945.1
s__Sporosarcina sp018309085	GCF_018309085.1
s__Acaryochloris marina_A	GCF_018336915.1
s__Phocoenobacter atlantica	GCF_018343795.1
s__Polynucleobacter sp018687075	GCF_018687075.1
s__Aeromonas veronii_A	GCF_019048265.1
s__Elioraea_A sp019203965	GCF_019203965.1
s__Vibrio sp004804295	GCF_019226825.1
s__Actinoplanes sp900119315	GCF_900119315.1
s__Lachnoclostridium_B phocaeense	GCF_900120345.1
s__Buchnera aphidicola_L	GCF_900128735.1
s__Xanthomonas fragariae	GCF_900183975.1
s__Mycobacterium basiliense	GCF_900292015.1
s__Haemophilus influenzae_D	GCF_900475755.1
s__Neisseria canis	GCF_900636765.1
s__Nocardia asteroides	GCF_900637185.1
s__Actinobacillus_C delphinicola	GCF_900638385.1
s__Metamycoplasma salivarium	GCF_900660445.2
s__Mycoplasmopsis_B pulmonis	GCF_900660575.1
s__Fusobacterium_A ulcerans_A	GCF_900683735.1
s__Nitrosacidococcus tergens	GCF_902810445.1
s__Limosilactobacillus reuteri_D	GCA_003072625.1
s__Aureibaculum sp006065315	GCA_006065315.1
s__Psychrobacter sp018448495	GCA_018448495.1
s__Rickettsia typhi	GCF_000008045.1
s__Legionella pneumophila	GCF_000008485.1
s__Francisella tularensis	GCF_000008985.1
s__Mesorhizobium japonicum	GCF_000009625.1
s__Azospirillum lipoferum_B	GCF_000010725.1
s__Deferribacter desulfuricans	GCF_000010985.1
s__Burkholderia thailandensis	GCF_000012365.1
s__Chlorobium luteolum	GCF_000012485.1
s__Ehrlichia canis	GCF_000012565.1
s__Burkholderia lata	GCF_000012945.1
s__Rhodospirillum rubrum	GCF_000013085.1
s__Anaeromyxobacter dehalogenans_B	GCF_000013385.1
s__Alkalilimnicola ehrlichii	GCF_000014785.1
s__Thermosipho melanesiensis	GCF_000016905.1
s__Leptospira_A biflexa	GCF_000017685.1
s__Heliomicrobium modesticaldum	GCF_000019165.1
s__Paraburkholderia phymatum	GCF_000020045.1
s__Rippkaea orientalis	GCF_000021805.1
s__Neorickettsia risticii	GCF_000022525.1
s__Eggerthella lenta	GCF_000024265.1
s__Meiothermus ruber	GCF_000024425.1
s__Streptobacillus moniliformis	GCF_000024565.1
s__Veillonella parvula	GCF_000024945.1
s__Enterobacter cloacae	GCF_000025565.1
s__Sorangium cellulosum_B	GCF_000067165.1
s__Planctopirus limnophila	GCF_000092105.1
s__Polaribacter sp000152945	GCF_000152945.2
s__Synechococcus_E sp000161795	GCF_000161795.2
s__Stigmatella aurantiaca_A	GCF_000165485.1
s__Frankia inefficax	GCF_000166135.1
s__Leadbetterella byssophila	GCF_000166395.1
s__Weizmannia coagulans_A	GCF_000169195.2
s__Polymorphum gilvum	GCF_000192745.1
s__Marinomonas mediterranea	GCF_000192865.1
s__Treponema_D succinifaciens	GCF_000195275.1
s__Arthrobacter_I sp000196235	GCF_000196235.1
s__Microbacterium testaceum_F	GCF_000202635.1
s__Haemophilus_D parainfluenzae_A	GCF_000210895.1
s__Halobacteriovorax marinus	GCF_000210915.2
s__Thermodesulfobium narugense	GCF_000212395.1
s__Brevibacillus_B halotolerans	GCF_000219535.2
s__Marichromatium purpuratum	GCF_000224005.2
s__Paenibacillus terrae_B	GCF_000235585.1
s__Ignavibacterium album	GCF_000258405.1
s__Methylophaga frappieri	GCF_000260965.1
s__Terriglobus roseus	GCF_000265425.1
s__Eperythrozoon_A haemolamae	GCF_000281235.1
s__Chroococcidiopsis thermalis	GCF_000317125.1
s__Vibrio alginolyticus	GCF_000354175.2
s__Pseudomonas_F resinovorans_A	GCF_000412695.1
s__Serratia liquefaciens	GCF_000422085.1
s__Actinoplanes friuliensis	GCF_000494755.1
s__Spiroplasma mirum	GCF_000565195.1
s__Roseicyclus elongatus	GCF_000590925.1
s__Thermodesulfobacterium commune	GCF_000734015.1
s__Paracaedibacter acanthamoebae	GCF_000742835.1
s__Cedecea neteri_B	GCF_000758325.1
s__Pantoea rwandensis_B	GCF_000759475.1
s__Halocynthiibacter_B arcticus	GCF_000812665.2
s__Pseudomonas_A balearica	GCF_000818015.1
s__Tachikawaea gelatinosa	GCF_000828815.1
s__Gynuella sunshinyii	GCF_000940805.1
s__Burkholderia ubonensis	GCF_000959245.1
s__Xenorhabdus poinarii	GCF_000968175.1
s__Sulfurovum lithotrophicum	GCF_000987835.1
s__Deinococcus soli	GCF_001007995.1
s__Bifidobacterium kashiwanohense	GCF_001042615.1
s__Alteraurantiacibacter atlanticus	GCF_001077815.2
s__Planococcus versutus	GCF_001186155.3
s__Olsenella_F sp001189515	GCF_001189515.2
s__Prevotella fusca	GCF_001262015.1
s__Moorella thermoacetica	GCF_001267405.1
s__Cronobacter dublinensis	GCF_001277235.1
s__Clavibacter capsici	GCF_001280205.1
s__Kibdelosporangium phytohabitans	GCF_001302585.1
s__Lysobacter antibioticus	GCF_001442535.1
s__Mycobacterium saopaulense	GCF_001456355.1
s__Pandoraea norimbergensis	GCF_001465545.3
s__Carnobacterium_A sp001483965	GCF_001483965.1
s__Protochlamydia naegleriophila	GCF_001499655.1
s__Streptomyces griseochromogenes	GCF_001542625.1
s__Vibrio tritonius	GCF_001547935.1
s__Trichormus sp001548375	GCF_001548375.1
s__Mycoplasmopsis_A canis	GCF_001553195.1
s__Capnocytophaga haemolytica	GCF_001553545.1
s__Pseudomonas_E azotoformans_A	GCF_001579805.1
s__Mycobacterium phlei	GCF_001583415.1
s__Frigidibacter mobilis	GCF_001620265.1
s__Streptococcus marmotae	GCF_001623565.1
s__Paraburkholderia sp001634365	GCF_001634365.1
s__Peribacillus muralis_A	GCF_001645685.2
s__Kosakonia oryzae	GCF_001658025.2
s__Pseudomonas_E silesiensis	GCF_001661075.1
s__Bordetella_C flabilis	GCF_001676725.1
s__Planococcus plakortidis	GCF_001687605.2
s__Planococcus donghaensis	GCF_001687665.2
s__Pseudomonas_E fluorescens_AN	GCF_001708445.1
s__Sphingobium sp001713415	GCF_001713415.1
s__Pedobacter steynii_A	GCF_001721645.1
s__Urechidicola croceus	GCF_001761325.1
s__Sphingorhabdus_B sp001889025	GCF_001889025.1
s__Leuconostoc suionicum	GCF_001891125.1
s__Kosakonia cowanii	GCF_001975225.1
s__Arachnia aquimaris	GCF_001997345.1
s__Brevundimonas sp002002865	GCF_002002865.1
s__Roseovarius mucosus_A	GCF_002080415.1
s__Bacillus_L krulwichiae	GCF_002109385.1
s__Vibrio aphrogenes	GCF_002157735.2
s__Shewanella marisflavi	GCF_002215585.1
s__Brachybacterium avium	GCF_002216795.1
s__Vibrio rumoiensis	GCF_002218045.2
s__Saccharomonospora marina_A	GCF_002240355.1
s__Tumebacillus_A algifaecis	GCF_002243515.1
s__Rhizobium sp002277895	GCF_002277895.1
s__Planktophila versatilis	GCF_002288105.1
s__Nanopelagicus abundans	GCF_002288305.1
s__Melittangium boletus	GCF_002305855.1
s__Luteimonas chenhongjianii	GCF_002327105.1
s__Sphingobium cloacae	GCF_002355855.1
s__Streptococcus oralis_F	GCF_002356415.1
s__Chitinophaga caeni	GCF_002557795.1
s__Acinetobacter sp002688565	GCF_002688565.1
s__Bacteriovorax stolpii	GCF_002872415.1
s__Paraburkholderia hospita	GCF_002902965.1
s__Nostoc sp002949735	GCF_002949735.1
s__Pediococcus inopinatus	GCF_002982135.1
s__Ottowia oryzae	GCF_003008535.1
s__Aquabacterium olei	GCF_003100395.1
s__Azospirillum ramasamyi	GCF_003233655.1
s__Arcticibacterium luteifluviistationis	GCF_003258705.1
s__Streptomyces globosus	GCF_003325375.1
s__Acidisarcina polymorpha	GCF_003330725.1
s__Streptomyces paludis	GCF_003344965.1
s__Sphingomonas sp003355005	GCF_003355005.1
s__Solimonas_A sp003428335	GCF_003428335.1
s__Aeromicrobium sp003443875	GCF_003443875.1
s__Deinococcus ficus	GCF_003444775.1
s__Malaciobacter marinus	GCF_003544855.1
s__Malaciobacter molluscorum	GCF_003544935.1
s__Sutterella megalosphaeroides	GCF_003609995.1
s__Christensenella minuta	GCF_003628755.1
s__Chryseobacterium joostei	GCF_003815775.1
s__Chryseobacterium indoltheticum	GCF_003815915.1
s__Pseudomonas_E fluorescens_BB	GCF_003851495.1
s__Acidithiobacillus ferridurans	GCF_003966655.1
s__Blastochloris tepida	GCF_003966715.1
s__Pelolinea submarina	GCF_003966975.1
s__Pseudanabaena sp003967015	GCF_003967015.1
s__Achromobacter spanius_C	GCF_003994415.1
s__Gudongella oleilytica	GCF_004101785.1
s__Nardonella sp004296515	GCF_004296515.1
s__Qipengyuania sediminis	GCF_004358425.1
s__Herbaspirillum huttiense	GCF_004367745.1
s__Corynebacterium endometrii	GCF_004795735.1
s__Azospirillum sp003115975	GCF_004923295.1
s__Agrobacterium sp900012625	GCF_005221325.1
s__Salinivibrio kushneri	GCF_005280275.1
s__Brevundimonas sp005484585	GCF_005484585.1
s__Agrococcus sp005484985	GCF_005484985.1
s__Mycoplasmopsis_A nasistruthionis	GCF_006228185.1
s__Shewanella sp006494715	GCF_006494715.1
s__Pseudarthrobacter sp002929755	GCF_006517235.1
s__Janthinobacterium tructae	GCF_006517255.1
s__Flavisolibacter ginsenosidimutans	GCF_007970805.1
s__Leptotrichia wadei	GCF_007990545.2
s__Peptacetobacter hiranonis	GCF_008151785.1
s__Oceanispirochaeta crateris	GCF_008329965.1
